tree,weight,height,diameter,location
kunugi,5.55,2.27,1.89,TKM
kunugi,6.77,2.34,2.00,TKM
kunugi,4.62,1.98,1.84,TKM
kunugi,7.41,2.35,2.12,TKM
kunugi,4.64,1.90,1.91,TKM
kunugi,6.00,2.16,2.06,TKM
kunugi,5.05,2.08,1.90,TKM
kunugi,5.44,2.18,1.91,TKM
kunugi,5.42,2.08,1.97,TKM
kunugi,5.60,2.20,1.93,TKM
kunugi,4.83,2.19,1.85,TKM
kunugi,4.39,1.98,1.82,TKM
kunugi,5.55,2.16,2.00,TKM
kunugi,5.13,2.20,1.87,TKM
kunugi,5.28,2.13,1.93,TKM
kunugi,3.91,1.99,1.87,TKM
kunugi,6.03,2.26,2.01,TKM
kunugi,4.37,2.00,1.73,TKM
konara,1.60,2.11,1.10,TKM
konara,1.49,2.04,1.09,TKM
konara,1.74,2.30,1.17,TKM
konara,1.57,2.11,1.11,TKM
konara,1.88,2.33,1.11,TKM
konara,1.63,2.12,1.14,TKM
konara,1.45,2.06,1.09,TKM
konara,1.07,1.91,0.98,TKM
konara,1.53,2.17,1.17,TKM
konara,1.61,2.00,1.12,TKM
konara,1.46,2.18,1.10,TKM
konara,1.63,2.17,1.14,TKM
konara,1.25,2.09,1.08,TKM
konara,1.76,2.27,1.14,TKM
konara,1.79,2.24,1.16,TKM
konara,1.42,2.00,1.11,TKM
konara,1.78,2.27,1.19,TKM
konara,1.55,2.20,1.19,TKM
konara,1.92,2.39,1.22,TKM
konara,1.32,2.05,1.05,TKM
konara,1.66,2.22,1.12,TKM
konara,1.81,2.21,1.14,TKM
konara,1.54,2.15,1.13,TKM
konara,1.52,2.12,1.10,TKM
konara,1.23,2.08,1.03,TKM
konara,1.10,1.92,1.02,TKM
konara,1.43,1.97,1.12,TKM
konara,1.68,2.15,1.20,TKM
konara,1.29,2.00,1.02,TKM
konara,1.20,1.96,1.00,TKM
konara,1.69,2.11,1.16,TKM
konara,1.40,2.02,1.08,TKM
konara,1.16,1.93,1.01,TKM
konara,1.68,2.08,1.15,TKM
konara,1.55,2.17,1.10,TKM
konara,1.63,2.07,1.14,TKM
shirakashi,2.01,1.94,1.39,SPN
shirakashi,1.76,1.95,1.23,SPN
shirakashi,1.96,2.06,1.23,SPN
shirakashi,1.77,1.93,1.24,SPN
shirakashi,1.88,2.07,1.25,SPN
shirakashi,1.70,1.97,1.20,SPN
shirakashi,1.78,2.09,1.20,SPN
shirakashi,1.37,1.89,1.09,SPN
shirakashi,1.89,2.03,1.26,SPN
shirakashi,1.87,2.06,1.22,SPN
shirakashi,2.12,1.97,1.32,SPN
shirakashi,1.82,1.97,1.24,SPN
shirakashi,1.70,1.95,1.20,SPN
shirakashi,1.56,1.98,1.13,SPN
shirakashi,1.90,2.06,1.25,SPN
shirakashi,0.83,1.68,0.94,NKM
shirakashi,1.00,1.67,0.99,NKM
shirakashi,0.91,1.65,0.95,NKM
shirakashi,1.12,1.68,1.15,NKM
shirakashi,0.76,1.54,0.90,NKM
shirakashi,0.89,1.64,0.94,NKM
shirakashi,1.03,1.76,0.99,NKM
shirakashi,0.95,1.68,0.95,NKM
shirakashi,1.22,1.76,1.16,NKM
shirakashi,0.79,1.59,0.89,NKM
shirakashi,1.06,1.59,0.89,NKM
shirakashi,1.05,1.70,1.03,NKM
shirakashi,0.86,1.58,0.95,NKM
shirakashi,1.08,1.73,1.02,NKM
shirakashi,0.92,1.68,0.93,NKM
shirakashi,0.86,1.67,0.92,NKM
shirakashi,0.82,1.71,0.94,NKM
shirakashi,0.85,1.58,0.93,NKM
shirakashi,0.99,1.65,0.98,NKM
shirakashi,0.80,1.55,0.92,NKM
shirakashi,0.88,1.64,0.92,NKM
shirakashi,1.02,1.62,1.00,NKM
shirakashi,1.21,1.77,1.09,NKM
shirakashi,1.15,1.71,1.04,NKM
shirakashi,1.03,1.73,0.99,NKM
shirakashi,1.02,1.69,0.99,NKM
shirakashi,0.94,1.72,0.96,NKM
arakashi,1.68,1.89,1.23,SPN
arakashi,1.42,1.87,1.12,SPN
arakashi,1.54,1.82,1.15,SPN
arakashi,1.30,1.77,1.19,SPN
arakashi,1.56,1.88,1.18,SPN
arakashi,1.17,1.77,1.14,SPN
arakashi,1.53,1.81,1.18,SPN
arakashi,1.34,1.72,1.10,SPN
arakashi,1.47,1.85,1.13,SPN
arakashi,1.64,1.89,1.26,SPN
arakashi,1.44,1.81,1.14,SPN
arakashi,1.36,1.87,1.09,SPN
arakashi,1.25,1.78,1.06,SPN
arakashi,1.49,1.82,1.17,SPN
arakashi,1.51,1.84,1.16,SPN
arakashi,1.41,1.88,1.12,SPN
arakashi,1.56,1.90,1.17,SPN
arakashi,1.34,1.81,1.10,SPN
arakashi,1.48,1.83,1.17,SPN
arakashi,1.32,1.80,1.11,SPN
arakashi,1.28,1.60,1.17,NKM
arakashi,1.49,1.68,1.23,NKM
arakashi,1.40,1.62,1.20,NKM
arakashi,1.25,1.75,1.13,NKM
arakashi,1.27,1.67,1.16,NKM
arakashi,1.17,1.67,1.13,NKM
arakashi,1.18,1.63,1.11,NKM
arakashi,1.11,1.56,1.12,NKM
arakashi,1.08,1.63,1.09,NKM
arakashi,1.30,1.70,1.28,NKM
arakashi,1.38,1.76,1.19,NKM
arakashi,0.97,1.56,1.05,NKM
arakashi,1.21,1.62,1.13,NKM
arakashi,1.08,1.55,1.10,NKM
arakashi,1.29,1.59,1.20,NKM
arakashi,1.25,1.62,1.14,NKM
arakashi,1.10,1.62,1.08,NKM
arakashi,1.37,1.70,1.18,NKM
arakashi,1.31,1.73,1.16,NKM
arakashi,1.16,1.65,1.14,NKM
arakashi,1.28,1.72,1.13,NKM
arakashi,1.32,1.72,1.17,NKM
arakashi,1.10,1.58,1.10,NKM
arakashi,1.20,1.59,1.15,NKM
arakashi,1.30,1.67,1.17,NKM
arakashi,1.08,1.53,1.10,NKM
arakashi,1.29,1.68,1.15,NKM
arakashi,1.36,1.79,1.16,NKM
arakashi,1.03,1.60,1.05,NKM
arakashi,1.23,1.74,1.12,NKM
arakashi,1.23,1.68,1.13,NKM
arakashi,1.20,1.77,1.10,NKM
arakashi,1.17,1.68,1.10,NKM
arakashi,1.25,1.71,1.15,NKM
arakashi,0.92,1.65,1.00,NKM
arakashi,1.02,1.58,1.05,NKM
arakashi,1.88,1.60,1.44,PLZ
arakashi,1.74,1.51,1.43,PLZ
arakashi,1.73,1.57,1.39,PLZ
arakashi,1.50,1.55,1.36,PLZ
arakashi,1.54,1.50,1.36,PLZ
arakashi,1.49,1.54,1.33,PLZ
arakashi,1.54,1.40,1.39,PLZ
arakashi,1.60,1.49,1.34,PLZ
arakashi,1.53,1.48,1.31,PLZ
arakashi,2.00,1.71,1.43,PLZ
arakashi,1.40,1.45,1.28,PLZ
arakashi,1.63,1.64,1.32,PLZ
arakashi,1.45,1.51,1.32,PLZ
arakashi,1.29,1.55,1.24,PLZ
arakashi,1.49,1.54,1.31,PLZ
arakashi,1.49,1.50,1.33,PLZ
arakashi,1.58,1.45,1.34,PLZ
arakashi,1.25,1.43,1.22,PLZ
arakashi,1.25,1.42,1.24,PLZ
arakashi,1.20,1.49,1.17,PLZ
arakashi,1.34,1.39,1.28,PLZ
arakashi,1.27,1.50,1.20,PLZ
arakashi,1.22,1.44,1.20,PLZ
arakashi,1.27,1.42,1.27,PLZ
arakashi,1.58,1.45,1.35,PLZ
arakashi,1.62,1.59,1.37,PLZ
arakashi,1.25,1.42,1.18,PLZ
arakashi,1.35,1.68,1.21,PLZ
arakashi,1.31,1.45,1.29,PLZ
arakashi,1.37,1.45,1.29,PLZ
arakashi,1.24,1.34,1.22,PLZ
arakashi,1.17,1.31,1.20,PLZ
arakashi,1.13,1.35,1.20,PLZ
arakashi,1.21,1.40,1.25,PLZ
arakashi,1.28,1.48,1.21,PLZ
arakashi,1.02,1.45,1.12,PLZ
matebashii,2.96,2.75,1.35,YYI
matebashii,3.18,2.80,1.44,YYI
matebashii,3.08,2.73,1.42,YYI
matebashii,2.89,2.78,1.38,YYI
matebashii,3.68,2.83,1.51,YYI
matebashii,2.93,2.62,1.38,YYI
matebashii,2.30,2.50,1.26,YYI
matebashii,3.18,2.68,1.46,YYI
matebashii,3.13,2.76,1.40,YYI
matebashii,2.20,2.54,1.21,YYI
matebashii,2.55,2.57,1.31,YYI
matebashii,2.57,2.50,1.32,YYI
matebashii,2.31,2.45,1.29,YYI
matebashii,1.84,2.45,1.14,YYI
